gbifID,accessRights,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceStatus,datasetKey,taxonRank,publishingCountry,lastInterpreted,issue,hasCoordinate,hasGeospatialIssues,protocol,kingdomKey,lastParsed,lastCrawled,recordedBy,preparations,higherGeography,countryCode,stateProvince,locality,repatriated,county,eventDate,year,month,decimalLatitude,decimalLongitude,day,eventRemarks,typeStatus,infraspecificEpithet
1913497162,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000547,MPEG.ANL 000547,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,CLASS,BR,2023-09-07T09:19:05.938Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.938Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 76,"Pará, Marabá",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Marabá,2018-01-11 00:00:00,2018,1,-5.337.433,-49.206.506,11,NULL,NULL,NULL
1913497161,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000475,MPEG.ANL 000475,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 6,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-11-21 00:00:00,2017,11,-1.440.694,-4.841.125,21,NULL,NULL,NULL
1913497160,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000567,MPEG.ANL 000567,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,FAMILY,BR,2023-09-07T09:19:05.942Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.942Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 1,"Pará, Baião",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Baião,2018-01-18 00:00:00,2018,1,-3.106.706,-49.658.372,18,NULL,NULL,NULL
1913497159,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000453,MPEG.ANL 000453,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.953Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.953Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 4,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2018-01-22 00:00:00,2018,1,-1.440.694,-4.841.125,22,NULL,NULL,NULL
1913497158,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000468,MPEG.ANL 000468,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 7,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-08-29 00:00:00,2017,8,-1.440.694,-4.841.125,29,NULL,NULL,NULL
1913497157,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000463,MPEG.ANL 000463,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 6,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-08-21 00:00:00,2017,8,-1.440.694,-4.841.125,21,NULL,NULL,NULL
1913497156,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000418,MPEG.ANL 000418,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.947Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.947Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 2,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-08-31 00:00:00,2017,8,-1.440.694,-4.841.125,31,NULL,NULL,NULL
1913497155,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000467,MPEG.ANL 000467,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 45,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2018-02-22 00:00:00,2018,2,-1.440.694,-4.841.125,22,NULL,NULL,NULL
1913497154,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000497,MPEG.ANL 000497,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.950Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.950Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 4,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2018-01-22 00:00:00,2018,1,-1.440.694,-4.841.125,22,NULL,NULL,NULL
1913497153,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000428,MPEG.ANL 000428,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.948Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.948Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 16,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-10-03 00:00:00,2017,10,-1.440.694,-4.841.125,3,NULL,NULL,NULL
